user,nice,system,idle,iowait,irq,softirq,steal,time
176073,3398,140179,69827612,1220,0,1265,0,17:31:46:741256
176073,3398,140179,69827613,1220,0,1265,0,17:31:46:762245
176073,3398,140181,69827614,1220,0,1265,0,17:31:46:783924
176073,3398,140181,69827615,1220,0,1265,0,17:31:46:802771
176073,3398,140182,69827615,1220,0,1265,0,17:31:46:822411
176074,3398,140182,69827616,1220,0,1265,0,17:31:46:846573
176074,3398,140184,69827617,1220,0,1265,0,17:31:46:863353
176074,3398,140186,69827618,1220,0,1265,0,17:31:46:880527
176074,3398,140188,69827618,1220,0,1265,0,17:31:46:899823
176074,3398,140189,69827619,1220,0,1265,0,17:31:46:918060
176074,3398,140189,69827620,1220,0,1265,0,17:31:46:937505
176074,3398,140191,69827621,1220,0,1265,0,17:31:46:955275
176074,3398,140191,69827621,1220,0,1265,0,17:31:46:973383
176074,3398,140191,69827622,1220,0,1265,0,17:31:46:992505
176074,3398,140193,69827624,1220,0,1265,0,17:31:47:017138
176075,3398,140193,69827624,1220,0,1265,0,17:31:47:037396
176075,3398,140194,69827625,1220,0,1265,0,17:31:47:054091
176075,3398,140194,69827626,1220,0,1265,0,17:31:47:070446
176075,3398,140196,69827626,1220,0,1265,0,17:31:47:089116
176075,3398,140198,69827627,1220,0,1265,0,17:31:47:108010
176075,3398,140199,69827628,1220,0,1265,0,17:31:47:133631
176075,3398,140200,69827629,1220,0,1265,0,17:31:47:148580
176076,3398,140200,69827629,1220,0,1265,0,17:31:47:163991
176077,3398,140200,69827630,1220,0,1265,0,17:31:47:184879
176078,3398,140200,69827631,1220,0,1265,0,17:31:47:203475
176078,3398,140201,69827631,1220,0,1265,0,17:31:47:220063
176079,3398,140202,69827632,1220,0,1265,0,17:31:47:236277
176080,3398,140202,69827633,1220,0,1265,0,17:31:47:252931
176080,3398,140204,69827633,1220,0,1265,0,17:31:47:271527
176080,3398,140205,69827634,1220,0,1265,0,17:31:47:287443
176080,3398,140205,69827635,1220,0,1265,0,17:31:47:303533
176080,3398,140206,69827635,1220,0,1265,0,17:31:47:320333
176080,3398,140206,69827636,1220,0,1265,0,17:31:47:343644
176080,3398,140207,69827637,1220,0,1265,0,17:31:47:359952
176080,3398,140207,69827638,1220,0,1265,0,17:31:47:377527
176080,3398,140208,69827639,1220,0,1265,0,17:31:47:395348
176080,3398,140209,69827639,1220,0,1265,0,17:31:47:415027
176080,3398,140209,69827640,1220,0,1265,0,17:31:47:433669
176081,3398,140209,69827641,1220,0,1265,0,17:31:47:455488
176081,3398,140209,69827642,1220,0,1265,0,17:31:47:468866
176081,3398,140210,69827642,1220,0,1265,0,17:31:47:493660
176081,3398,140211,69827643,1220,0,1265,0,17:31:47:515908
176081,3398,140211,69827644,1220,0,1265,0,17:31:47:537237
176081,3398,140213,69827645,1220,0,1265,0,17:31:47:553504
176081,3398,140213,69827646,1220,0,1265,0,17:31:47:570498
