user,nice,system,idle,iowait,irq,softirq,steal,time
696657,14029,614612,277743954,8858,43,20816,0,16:41:28:571183
696658,14029,614613,277743957,8858,43,20816,0,16:41:28:586555
696658,14029,614614,277743960,8858,43,20816,0,16:41:28:602499
696658,14029,614617,277743961,8858,43,20816,0,16:41:28:620242
696658,14029,614618,277743965,8858,43,20816,0,16:41:28:640761
696658,14029,614619,277743969,8858,43,20816,0,16:41:28:660711
696658,14029,614621,277743973,8858,43,20816,0,16:41:28:680027
696659,14029,614625,277743977,8858,43,20816,0,16:41:28:696518
696659,14029,614627,277743977,8858,43,20816,0,16:41:28:711199
696660,14029,614630,277743981,8858,43,20816,0,16:41:28:726925
696660,14029,614631,277743984,8858,43,20816,0,16:41:28:738485
696660,14029,614635,277743986,8858,43,20817,0,16:41:28:751155
696661,14029,614637,277743989,8858,43,20817,0,16:41:28:764768
696661,14029,614637,277743990,8858,43,20817,0,16:41:28:780161
696662,14029,614640,277743993,8858,43,20817,0,16:41:28:798510
696662,14029,614642,277743996,8858,43,20817,0,16:41:28:812483
696663,14029,614643,277743998,8858,43,20817,0,16:41:28:825827
696664,14029,614643,277744001,8858,43,20817,0,16:41:28:839146
696665,14029,614646,277744002,8858,43,20817,0,16:41:28:851730
696665,14029,614647,277744005,8858,43,20817,0,16:41:28:866689
696665,14029,614647,277744009,8858,43,20817,0,16:41:28:882915
696665,14029,614652,277744010,8858,43,20817,0,16:41:28:894657
696665,14029,614652,277744014,8858,43,20817,0,16:41:28:908604
696665,14029,614653,277744015,8858,43,20817,0,16:41:28:925238
696665,14029,614656,277744019,8858,43,20817,0,16:41:28:943580
696667,14029,614658,277744022,8858,43,20817,0,16:41:28:957057
696667,14029,614659,277744025,8858,43,20817,0,16:41:28:972110
696667,14029,614662,277744026,8858,43,20817,0,16:41:28:985004
696668,14029,614663,277744029,8858,43,20817,0,16:41:29:001142
696668,14029,614665,277744031,8858,43,20817,0,16:41:29:016963
696669,14029,614666,277744034,8858,43,20817,0,16:41:29:031027
696670,14029,614668,277744036,8858,43,20817,0,16:41:29:045332
696671,14029,614669,277744039,8858,43,20817,0,16:41:29:063332
696672,14029,614671,277744041,8858,43,20817,0,16:41:29:077882
696673,14029,614672,277744043,8858,43,20817,0,16:41:29:090049
696673,14029,614674,277744047,8858,43,20817,0,16:41:29:103771
696674,14029,614675,277744049,8858,43,20817,0,16:41:29:123583
696675,14029,614678,277744052,8858,43,20817,0,16:41:29:137048
696675,14029,614680,277744054,8858,43,20817,0,16:41:29:150679
696675,14029,614681,277744057,8858,43,20817,0,16:41:29:165257
696676,14029,614682,277744058,8858,43,20817,0,16:41:29:177801
696677,14029,614683,277744062,8858,43,20817,0,16:41:29:192660
696678,14029,614685,277744063,8858,43,20817,0,16:41:29:214148
696678,14029,614686,277744067,8858,43,20817,0,16:41:29:228208
696678,14029,614687,277744070,8858,43,20817,0,16:41:29:239142
696679,14029,614689,277744071,8858,43,20817,0,16:41:29:251978
696679,14029,614689,277744074,8858,43,20817,0,16:41:29:264747
696679,14029,614689,277744077,8858,43,20817,0,16:41:29:275735
696679,14029,614691,277744078,8858,43,20817,0,16:41:29:286689
696680,14029,614692,277744081,8858,43,20817,0,16:41:29:298136
696680,14029,614692,277744082,8858,43,20817,0,16:41:29:308540
696680,14029,614693,277744085,8858,43,20817,0,16:41:29:319828
696680,14029,614697,277744089,8858,43,20817,0,16:41:29:332457
696680,14029,614698,277744089,8858,43,20817,0,16:41:29:347061
696680,14029,614698,277744093,8858,43,20817,0,16:41:29:359593
696680,14029,614700,277744095,8858,43,20817,0,16:41:29:370383
696680,14029,614704,277744097,8858,43,20817,0,16:41:29:383676
696680,14029,614704,277744100,8858,43,20817,0,16:41:29:397774
696680,14029,614706,277744103,8858,43,20817,0,16:41:29:408762
696680,14029,614710,277744105,8858,43,20817,0,16:41:29:419472
696680,14029,614713,277744107,8858,43,20817,0,16:41:29:430111
696680,14029,614714,277744110,8858,43,20817,0,16:41:29:442388
696680,14029,614717,277744111,8858,43,20817,0,16:41:29:453459
696681,14029,614717,277744113,8858,43,20817,0,16:41:29:465164
