,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
37,3700,0.6373626373626373,0.8,,0.9,,,,0.2,0.2222222222222222,,apple
38,3800,0.6647398843930635,0.7692307692307693,0.7,0.6363636363636364,0.696969696969697,0.8181818181818182,0.9230769230769231,0.3333333333333333,0.125,0.5727000000000001,apple
39,3900,0.6644736842105263,0.9230769230769231,0.9090909090909091,0.9230769230769231,,0.75,0.7777777777777778,0.2222222222222222,0.18181818181818182,,apple
40,4000,0.6666666666666666,0.9,0.8,0.7777777777777778,,0.6363636363636364,0.8709677419354839,0.2727272727272727,0.16666666666666666,,apple
41,4100,0.6685714285714286,,0.8181818181818182,0.8888888888888888,0.9230769230769231,,,0.3333333333333333,,0.60756,apple
42,4200,0.6730769230769231,,0.6363636363636364,0.9,0.6666666666666666,,,0.4166666666666667,,,apple
43,4300,0.7006369426751592,0.9166666666666666,0.9166666666666666,0.8,0.9090909090909091,0.7857142857142857,0.8181818181818182,0.4444444444444444,,,apple
44,4400,0.7263681592039801,0.7777777777777778,0.6,0.7,0.8,0.8,0.6923076923076923,,,0.60756,apple
45,4500,0.6,0.6363636363636364,,0.6923076923076923,0.7272727272727273,0.8333333333333334,0.8571428571428571,,0.2727272727272727,,apple
46,4600,0.6645161290322581,0.8888888888888888,,0.8181818181818182,0.75,0.8333333333333334,0.8888888888888888,0.15384615384615385,0.3,0.6772800000000001,apple
47,4700,0.6595744680851063,0.8181818181818182,0.75,0.7272727272727273,0.7272727272727273,0.7692307692307693,1.0,0.3076923076923077,0.18181818181818182,,apple
48,4800,0.6496815286624203,0.8,0.7777777777777778,0.8181818181818182,0.875,0.9,0.8461538461538461,0.36363636363636365,0.2727272727272727,,apple
49,4900,0.68,0.9090909090909091,0.6363636363636364,0.75,0.6666666666666666,0.7777777777777778,,0.2727272727272727,0.2222222222222222,0.6772800000000001,apple
50,5000,0.6524822695035462,0.8,0.9,0.8,,,,,0.4,,apple
51,5100,0.6546762589928058,0.9,0.9,,,,0.8181818181818182,,0.1111111111111111,,apple
52,5200,0.6243654822335025,0.8181818181818182,0.8333333333333334,,0.5,0.78125,0.8181818181818182,0.16666666666666666,0.3076923076923077,0.71712,apple
53,5300,0.6626506024096386,0.8888888888888888,0.7,0.8333333333333334,0.7692307692307693,0.71875,0.5833333333333334,0.4166666666666667,0.4166666666666667,,apple
54,5400,0.625,0.8181818181818182,0.6363636363636364,0.75,0.7777777777777778,,0.7,0.3,,0.71712,apple
55,5500,0.6122448979591837,0.7857142857142857,,0.7142857142857143,0.5833333333333334,,,0.3333333333333333,,,apple
56,5600,0.6090909090909091,1.0,,0.7692307692307693,0.6363636363636364,0.7142857142857143,,0.25,0.23076923076923078,,apple
