,time[ms],time_0,csv_load_0,time_1,csv_load_1
2349,2300,2300,0.8144329896907216,2000.0,0.8571428571428571
2350,2400,2400,0.7603305785123967,2100.0,0.9285714285714286
2351,2500,2500,0.6617647058823529,2200.0,0.8333333333333334
2352,2600,2600,0.6503067484662577,2300.0,0.9090909090909092
2353,2700,2700,0.6464646464646465,2400.0,0.7777777777777778
2354,2800,2800,0.8258064516129032,2500.0,0.7777777777777778
2355,2900,2900,0.8862275449101796,2600.0,
2356,3000,3000,0.8258064516129032,2700.0,
2357,3100,3100,,2800.0,
2358,3200,3200,,2900.0,
2359,3300,3300,0.4215384615384615,3000.0,0.9090909090909092
2360,3400,3400,0.5952380952380952,3100.0,0.7857142857142857
2361,3500,3500,0.631578947368421,3200.0,0.8181818181818182
2362,3600,3600,0.6358381502890174,3300.0,0.75
2363,3700,3700,0.5684931506849316,3400.0,0.7777777777777778
2364,3800,3800,0.646551724137931,3500.0,0.7777777777777778
2365,3900,3900,0.625,3600.0,1.0
2366,4000,4000,0.6858974358974359,3700.0,0.7272727272727273
2367,4100,4100,0.6683168316831684,3800.0,0.8
2368,4200,4200,0.6571428571428571,3900.0,0.6666666666666666
2369,4300,4300,0.4523809523809524,4000.0,0.9166666666666666
2370,4400,4400,0.7226277372262774,4100.0,0.8
2371,4500,4500,0.6598639455782312,4200.0,0.7692307692307693
2372,4600,4600,0.6170212765957447,4300.0,0.8
2373,4700,4700,0.6047904191616766,4400.0,0.7777777777777778
2374,4800,4800,0.6344827586206897,4500.0,
2375,4900,4900,0.6526315789473685,4600.0,
2376,5000,5000,0.7261146496815286,4700.0,0.7272727272727273
2377,5100,5100,0.6351351351351351,4800.0,0.7692307692307693
2378,5200,5200,0.6233766233766234,4900.0,0.9090909090909092
2379,5300,5300,0.6203208556149733,5000.0,0.75
2380,5400,5400,0.6564885496183206,5100.0,
2381,5500,5500,0.6344827586206897,5200.0,
2382,5600,5600,0.6404494382022472,5300.0,0.9166666666666666
2383,5700,5700,0.6341463414634146,5400.0,0.8333333333333334
2384,5800,5800,0.6490066225165563,5500.0,0.8888888888888888
2385,5900,5900,0.6524064171122995,5600.0,0.7692307692307693
2386,6000,6000,0.6540540540540539,5700.0,0.8333333333333334
2387,6100,6100,0.6850393700787402,5800.0,
2388,6200,6200,0.6296296296296297,5900.0,
2389,6300,6300,0.6470588235294118,6000.0,0.9166666666666666
2390,6400,6400,0.5140562248995983,6100.0,0.8571428571428571
2391,6500,6500,0.6708074534161491,6200.0,0.9090909090909092
2392,6600,6600,0.6511627906976745,6300.0,0.6666666666666666
2393,6700,6700,0.6470588235294118,6400.0,
2394,6800,6800,0.6549707602339181,6500.0,
2395,6900,6900,0.68,6600.0,0.9230769230769232
2396,7000,7000,0.7518248175182481,6700.0,0.8181818181818182
2397,7100,7100,0.7362637362637363,6800.0,0.8333333333333334
2398,7200,7200,0.6291390728476821,6900.0,0.8
2399,7300,7300,0.65,7000.0,0.75
2400,7400,7400,0.40384615384615385,7100.0,0.8461538461538461
2401,7500,7500,0.6136363636363636,7200.0,0.875
2402,7600,7600,0.6139240506329114,7300.0,0.7777777777777778
2403,7700,7700,0.6566265060240963,7400.0,0.9
2404,7800,7800,0.5987261146496815,7500.0,0.6
2405,7900,7900,0.5925925925925926,7600.0,0.8
2406,0,0,,7700.0,0.8181818181818182
2407,100,100,0.9552238805970148,7800.0,0.8333333333333334
2408,200,200,0.8918918918918919,7900.0,0.8
2409,300,300,0.9807692307692308,0.0,
2410,400,400,0.9848484848484848,100.0,0.7777777777777778
2411,500,500,0.9693877551020408,200.0,0.8181818181818182
2412,600,600,0.9393939393939394,300.0,
2413,700,700,0.9691629955947136,400.0,
2414,800,800,0.981132075471698,500.0,0.7692307692307693
2415,900,900,0.9230769230769232,600.0,0.8461538461538461
2416,1000,1000,0.8695652173913043,700.0,
2417,1100,1100,0.875,800.0,
2418,1200,1200,0.9382716049382716,900.0,
2419,1300,1300,0.9420289855072465,1000.0,0.6451612903225806
2420,1400,1400,0.85,1100.0,
